Ip, Country, Region, City,
1.0.0.255,AU,Queensland,South Brisbane,
1.0.3.255,CN,Fujian,Wenquan,
1.0.7.255,AU,Victoria,Narre Warren,
1.0.15.255,CN,Guangdong,Guangzhou,
1.0.16.255,JP,Tokyo,Chiyoda,
1.0.31.255,JP,Tokyo,Shinjuku (1-chome),
1.0.63.255,CN,Guangdong,Guangzhou,
1.0.79.255,JP,Hiroshima,Hiroshima,
1.0.80.255,JP,Shimane,Matsue,
1.0.85.255,JP,Hiroshima,Hiroshima,
1.0.86.255,JP,Tottori,Tottori-shi,
1.0.95.255,JP,Hiroshima,Hiroshima,
1.0.96.255,JP,Tottori,Sakaiminato,
1.0.101.255,JP,Hiroshima,Hiroshima,
1.0.102.255,JP,Shimane,Izumo,
1.0.103.255,JP,Hiroshima,Hiroshima,
1.0.104.255,JP,Tottori,Tottori-shi,
1.0.107.255,JP,Hiroshima,Hiroshima,
1.0.108.255,JP,Shimane,Izumo,
1.0.111.255,JP,Hiroshima,Hiroshima,
1.0.112.255,JP,Yamaguchi,Ogori-shimogo,
1.0.114.255,JP,Hiroshima,Hiroshima,
1.0.115.255,JP,Yamaguchi,Iwakuni,
1.0.119.255,JP,Hiroshima,Hiroshima,
1.0.120.255,JP,Shimane,Matsue,
1.0.125.255,JP,Hiroshima,Hiroshima,
1.0.126.255,JP,Tottori,Tottori-shi,
1.0.127.255,JP,Hiroshima,Hiroshima,
